site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
yandun,tcn,43,low,0.0,at_least_10pct_2h,8755.846341508335,11779.461187687451,3023.6148461791163,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,low,1000.0,unconstrained,13577.651628955391,15476.995273085806,1899.3436441304148,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,low,1000.0,at_least_10pct_2h,12849.010541637408,15192.920794497404,2343.910252859996,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,low,5000.0,unconstrained,24490.116635895985,28846.759221737215,4356.642585841229,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,low,5000.0,at_least_10pct_2h,24490.116635895985,28846.759221737215,4356.642585841229,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,base,0.0,unconstrained,11710.820168469343,16990.776174720675,5279.956006251332,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,base,0.0,at_least_10pct_2h,12393.643948479536,18582.52416750366,6188.880219024124,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,base,1000.0,unconstrained,19433.06171319006,23972.383360446143,4539.321647256082,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,base,1000.0,at_least_10pct_2h,16486.80814860861,21995.983774313616,5509.175625705007,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
yandun,tcn,43,base,5000.0,unconstrained,27078.606180620885,35649.82220155343,8571.216020932541,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
