site,config,candidate_events,matched_events,coverage,unmatched_events,matched_duration_hours_median,unmatched_duration_hours_median,matched_amplitude_median,unmatched_amplitude_median,matched_power_range_median,unmatched_power_range_median,matched_power_start_median,unmatched_power_start_median,matched_direction_median,unmatched_direction_median
suining,mean_shift_4h,625,582,0.9312,43,10.0,17.5,-0.01568406986248815,-0.3798313960040355,0.6922062646505884,0.8078559532315248,0.4257679539827963,0.6667487444031936,-1.0,-1.0
suining,opsda_cui2015_1h_0.025,1534,1534,1.0,0,1.0,,-0.20019570272728,,0.3136543585989921,,0.5270484397260256,,-1.0,
suining,opsda_cui2015_2h_0.025,2930,2930,1.0,0,1.5,,-0.20146647307402676,,0.34167444424161925,,0.5112016885938585,,-1.0,
suining,opsda_cui2015_4h_0.025,4407,4132,0.9375992738824597,275,2.0,3.0,0.2009029924180448,0.2173211554835526,0.369523138616512,0.3278104343971921,0.4838874770882896,0.3883843192046956,1.0,1.0
suining,sda_florita2013_0.025,2320,2314,0.9974137931034482,6,1.0,7.5,-0.20019570272728,-0.424546180811725,0.3162547552792454,0.42753361747657614,0.5074545449380041,0.9871012124909992,-1.0,-1.0
suining,threshold_1h,2953,2923,0.9898408398239079,30,1.0,1.0,-0.2000347905941246,0.20395969576989645,0.336054190174364,0.2122772329703262,0.4855078991973499,0.3391072077436359,-1.0,1.0
suining,threshold_2h,2402,2316,0.9641965029142381,86,2.5,2.0,-0.16669525871504937,0.20197372063822724,0.4199645494483858,0.24172950270949226,0.4445876860823037,0.3318090625204483,-1.0,1.0
suining,threshold_4h,1420,1289,0.9077464788732394,131,6.0,4.5,-0.071843860286803,-0.1854418678630019,0.5445172909089961,0.3319968910791249,0.4250724469441346,0.3726643948138659,-1.0,-1.0
yandun,adaptive_corridor,22738,22686,0.9977130794265107,52,0.5,2.75,-0.2029999999999999,-0.20454166666666665,0.328,0.23304166666666665,0.3566666666666667,0.23325,-1.0,-1.0
yandun,endpoint_corridor_0.025,22091,21816,0.9875514915576479,275,0.5,0.5,-0.2009999999999999,0.20575,0.31341666666666657,0.2765,0.3726666666666666,0.4695,-1.0,1.0
yandun,endpoint_corridor_0.050,23602,23542,0.9974578425557156,60,0.5,1.5,-0.2016666666666666,-0.20437499999999997,0.31858333333333333,0.21570833333333328,0.352875,0.229875,-1.0,-1.0
yandun,endpoint_corridor_0.100,24016,23849,0.9930463024650233,167,1.0,2.5,-0.2086666666666666,-0.208,0.341,0.2283333333333332,0.3353333333333333,0.238,-1.0,-1.0
yandun,financial_tail_1h,16311,14491,0.8884188584390902,1820,1.5,1.0,0.1066666666666666,-0.102375,0.43875,0.1505833333333333,0.271,0.12987500000000002,1.0,-1.0
yandun,financial_tail_2h,11798,11420,0.9679606713002203,378,2.5,2.0,0.1151666666666666,0.1003333333333333,0.5539999999999999,0.1578333333333333,0.22075,0.11066666666666665,1.0,1.0
yandun,financial_tail_4h,9292,8955,0.9637322427894963,337,5.0,4.5,0.0693333333333333,0.1346666666666666,0.656,0.1776666666666666,0.2195,0.02,1.0,1.0
yandun,mean_shift_1h,13634,13631,0.9997799618600557,3,2.0,3.5,0.0262499999999999,-0.292,0.52775,0.6825000000000001,0.3113333333333333,0.664,1.0,-1.0
yandun,mean_shift_2h,10092,10081,0.9989100277447484,11,5.0,8.5,0.0066666666666667,0.1265,0.6885,0.94575,0.213,0.2435,1.0,1.0
yandun,mean_shift_4h,6386,5968,0.9345443156905732,418,10.5,17.0,0.015875,-0.07549999999999996,0.8435,1.007625,0.1093333333333333,0.1755833333333333,1.0,-1.0
yandun,opsda_cui2015_1h_0.025,10746,10746,1.0,0,1.0,,-0.21725,,0.37575,,0.404,,-1.0,
yandun,opsda_cui2015_2h_0.025,19078,19078,1.0,0,1.5,,-0.2199999999999999,,0.40070833333333333,,0.3787083333333333,,-1.0,
yandun,opsda_cui2015_4h_0.025,27767,26549,0.9561349803723845,1218,2.0,3.0,-0.2204999999999999,-0.253,0.4313333333333333,0.354875,0.3513333333333333,0.35350000000000004,-1.0,-1.0
yandun,sda_florita2013_0.025,16478,16325,0.9907148925840514,153,1.0,7.5,-0.204,0.26325,0.3633333333333333,0.3083333333333333,0.357,0.00075,-1.0,1.0
yandun,threshold_1h,18648,18594,0.997104247104247,54,1.5,1.0,0.11737500000000001,0.20399999999999996,0.411,0.21775,0.314875,0.21475,1.0,1.0
yandun,threshold_2h,16597,16352,0.9852382960776044,245,3.0,2.0,0.09124999999999994,0.2005,0.49625,0.2425,0.2686666666666666,0.212,1.0,1.0
yandun,threshold_4h,13467,12730,0.945273631840796,737,6.0,4.5,-0.0533749999999999,-0.0829999999999999,0.6078749999999999,0.2965,0.24941666666666665,0.2126666666666666,-1.0,-1.0
