site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
pizhou,endpoint_corridor_0.100,threshold_2h,2484,10493,6346,0.236729248070142,0.3914276709738418,0.6847038182786974,1.0,1.0,0.42632850241545894
pizhou,endpoint_corridor_0.100,threshold_4h,355,10493,3539,0.033832078528542836,0.10031082226617688,0.6360567015144479,1.0,1.0,0.30985915492957744
pizhou,financial_tail_1h,financial_tail_2h,425,1030,708,0.41262135922330095,0.6002824858757062,0.5842819794584501,1.0,1.0,0.18588235294117647
pizhou,financial_tail_1h,financial_tail_4h,5,1030,496,0.0048543689320388345,0.010080645161290322,0.5292929292929294,1.0,1.0,0.0
pizhou,financial_tail_1h,mean_shift_1h,720,1030,5717,0.6990291262135923,0.12594017841525276,0.6503869047619047,1.0,1.0,0.2902777777777778
pizhou,financial_tail_1h,mean_shift_2h,8,1030,3316,0.007766990291262136,0.0024125452352231603,0.5472222222222223,1.0,1.0,0.0
pizhou,financial_tail_1h,opsda_cui2015_1h_0.025,414,1030,4452,0.40194174757281553,0.09299191374663072,0.7717391304347826,1.0,1.0,0.34299516908212563
pizhou,financial_tail_1h,opsda_cui2015_2h_0.025,654,1030,8674,0.6349514563106796,0.07539774037353009,0.7038481141692151,1.0,1.0,0.3547400611620795
pizhou,financial_tail_1h,opsda_cui2015_4h_0.025,639,1030,13284,0.6203883495145631,0.048102981029810296,0.7039254042775169,1.0,1.0,0.3442879499217527
pizhou,financial_tail_1h,sda_florita2013_0.025,566,1030,7304,0.5495145631067961,0.07749178532311063,0.737809187279152,1.0,1.0,0.29858657243816256
pizhou,financial_tail_1h,threshold_1h,958,1030,8396,0.9300970873786408,0.11410195331110053,0.845951386817775,1.0,1.0,0.6492693110647182
pizhou,financial_tail_1h,threshold_2h,189,1030,6346,0.18349514563106797,0.02978254018279231,0.5580036953052826,1.0,1.0,0.09523809523809523
pizhou,financial_tail_1h,threshold_4h,2,1030,3539,0.001941747572815534,0.0005651313930488839,0.5227272727272727,1.0,1.0,0.0
pizhou,financial_tail_2h,financial_tail_4h,304,708,496,0.4293785310734463,0.6129032258064516,0.6020236525170736,1.0,1.0,0.17434210526315788
pizhou,financial_tail_2h,mean_shift_1h,583,708,5717,0.8234463276836158,0.10197656113346161,0.7636606817996183,1.0,1.0,0.6620926243567753
pizhou,financial_tail_2h,mean_shift_2h,321,708,3316,0.4533898305084746,0.09680337756332931,0.5887317684046656,1.0,1.0,0.16822429906542055
pizhou,financial_tail_2h,mean_shift_4h,2,708,1425,0.002824858757062147,0.0014035087719298245,0.5,1.0,1.0,0.0
pizhou,financial_tail_2h,opsda_cui2015_1h_0.025,125,708,4452,0.1765536723163842,0.02807726864330638,0.5,1.0,1.0,0.0
pizhou,financial_tail_2h,opsda_cui2015_2h_0.025,431,708,8674,0.6087570621468926,0.049688724925063404,0.6535741906971604,1.0,1.0,0.29930394431554525
pizhou,financial_tail_2h,opsda_cui2015_4h_0.025,578,708,13284,0.8163841807909604,0.04351099066546221,0.7268988076514027,1.0,1.0,0.5363321799307958
pizhou,financial_tail_2h,sda_florita2013_0.025,291,708,7304,0.4110169491525424,0.03984118291347207,0.5766813942071674,1.0,1.0,0.18900343642611683
pizhou,financial_tail_2h,threshold_1h,552,708,8396,0.7796610169491526,0.06574559313959027,0.6907896250287555,1.0,1.0,0.4673913043478261
pizhou,financial_tail_2h,threshold_2h,594,708,6346,0.8389830508474576,0.0936022691459187,0.7523035980106686,1.0,1.0,0.5993265993265994
pizhou,financial_tail_2h,threshold_4h,106,708,3539,0.1497175141242938,0.029951963831590846,0.5592981340725075,1.0,1.0,0.02830188679245283
pizhou,financial_tail_4h,mean_shift_1h,173,496,5717,0.3487903225806452,0.03026062620255379,0.5923274220962081,1.0,1.0,0.15028901734104047
pizhou,financial_tail_4h,mean_shift_2h,444,496,3316,0.8951612903225806,0.1338962605548854,0.7716073433585043,1.0,1.0,0.7972972972972973
pizhou,financial_tail_4h,mean_shift_4h,129,496,1425,0.2600806451612903,0.09052631578947369,0.592433629776176,1.0,1.0,0.10077519379844961
pizhou,financial_tail_4h,opsda_cui2015_2h_0.025,45,496,8674,0.0907258064516129,0.0051879179156098685,0.5,1.0,1.0,0.0
pizhou,financial_tail_4h,opsda_cui2015_4h_0.025,326,496,13284,0.657258064516129,0.02454080096356519,0.6844962042047932,1.0,1.0,0.4539877300613497
