window_id,site,turbine,stratum,anchor,source,scale,source_clock
M104,sdwpf,1,random_screen,2021-03-23 01:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1549.82,source clock (timezone not reverified)
M105,greece,WT01,steady_screen,2020-06-19 07:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M106,pizhou,HRPZ#03(F03),steady_screen,2024-09-03 13:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M107,greece,WT01,steady_screen,2020-05-01 04:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M108,pizhou,HRPZ#03(F03),steady_screen,2024-12-07 11:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M109,greece,WT02,turning_screen,2020-05-12 03:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M110,pizhou,HRPZ#02(F02),falling_screen,2024-11-23 01:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#02(F02).csv.gz,2681.1422765999996,UTC (cleaned source)
M111,pizhou,HRPZ#01(F01),steady_screen,2024-08-27 08:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#01(F01).csv.gz,2681.509338617667,UTC (cleaned source)
M112,pizhou,HRPZ#04(F04),steady_screen,2024-08-27 09:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M113,sdwpf,23,steady_screen,2021-03-21 04:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M114,greece,WT04,steady_screen,2020-06-22 23:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M115,pizhou,HRPZ#03(F03),random_screen,2024-11-01 09:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M116,sdwpf,1,random_screen,2021-06-17 05:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1549.82,source clock (timezone not reverified)
M117,yandun,10,falling_screen,2024-07-15 08:00:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M118,sdwpf,46,turning_screen,2021-10-19 11:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M119,pizhou,HRPZ#04(F04),rising_screen,2025-01-05 07:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M120,pizhou,HRPZ#06(F06),steady_screen,2024-08-27 05:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#06(F06).csv.gz,2680.939464558167,UTC (cleaned source)
M121,pizhou,HRPZ#05(F05),turning_screen,2024-07-21 12:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#05(F05).csv.gz,2681.320462851,UTC (cleaned source)
M122,sdwpf,114,rising_screen,2021-04-03 17:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M123,pizhou,HRPZ#03(F03),steady_screen,2024-08-27 17:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M124,sdwpf,68,steady_screen,2021-03-18 04:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M125,sdwpf,46,steady_screen,2021-10-12 15:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M126,sdwpf,23,random_screen,2021-06-09 12:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M127,yandun,10,steady_screen,2024-07-11 07:00:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M128,pizhou,HRPZ#06(F06),turning_screen,2025-01-02 07:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#06(F06).csv.gz,2680.939464558167,UTC (cleaned source)
M129,yandun,1,steady_screen,2024-07-14 13:30:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
